Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,37.529999,38.279999,37.259998,37.470001,37.005283,410200
2020-03-10,39.540001,39.709999,37.930000,39.270000,38.782959,479500
2020-03-11,38.009998,38.240002,37.009998,37.410000,36.946026,259600
2020-03-12,34.799999,35.570000,31.500000,34.130001,33.706707,373000
2020-03-13,37.189999,37.320000,34.750000,36.849998,36.392971,441900
2020-03-16,31.370001,35.290001,31.370001,33.889999,33.469681,484800
2020-03-17,34.380001,36.650002,34.380001,36.630001,36.175701,420000
2020-03-18,34.180000,37.980000,34.180000,37.959999,37.489204,907800
2020-03-19,39.959999,43.500000,39.549999,42.740002,42.209923,1217400
2020-03-20,42.709999,44.740002,41.410000,41.860001,41.340836,1138400
2020-03-23,42.439999,42.500000,40.209999,41.080002,40.570511,632900
2020-03-24,42.000000,42.369999,40.430000,41.349998,40.837158,386500
2020-03-25,41.689999,42.980000,40.889999,41.529999,41.014927,486900
2020-03-26,41.080002,42.500000,41.009998,42.500000,41.972897,578000
2020-03-27,41.349998,41.970001,40.020000,41.119999,40.610012,424400
2020-03-30,42.900002,43.709999,42.720001,43.580002,43.039505,316000
2020-03-31,43.529999,43.639999,42.320000,42.930000,42.397564,390500
2020-04-01,42.540001,43.560001,42.250000,42.590000,42.061783,345100
2020-04-02,42.750000,43.020000,42.110001,42.689999,42.160538,177400
2020-04-03,43.340000,43.730000,42.799999,43.080002,42.545704,245800
2020-04-06,45.000000,45.279999,44.389999,45.020000,44.461643,397200
2020-04-07,44.790001,45.009998,43.500000,43.529999,42.990120,380700
2020-04-08,44.330002,44.689999,44.009998,44.509998,43.957966,190900
2020-04-09,44.919998,45.000000,44.209999,44.529999,43.977718,175100
2020-04-13,44.730000,44.730000,44.020000,44.349998,43.799950,146800
2020-04-14,45.630001,46.299999,45.439999,45.880001,45.310978,303100
2020-04-15,45.459999,45.740002,44.959999,45.419998,44.856682,186300
2020-04-16,45.669998,45.869999,45.009998,45.820000,45.251720,184200
2020-04-17,46.259998,46.470001,45.840000,46.389999,45.814651,241300
2020-04-20,46.180000,46.919998,46.150002,46.299999,45.725769,294500
2020-04-21,46.930000,46.930000,45.740002,45.919998,45.350479,343400
2020-04-22,47.169998,47.430000,46.750000,46.930000,46.347954,274500
2020-04-23,46.919998,47.349998,46.529999,46.680000,46.101055,156100
2020-04-24,47.139999,47.790001,46.750000,47.509998,46.920761,257400
2020-04-27,47.790001,48.290001,47.689999,48.099998,47.503441,321700
2020-04-28,47.480000,47.799999,47.119999,47.259998,46.673859,384000
2020-04-29,47.990002,48.959999,47.709999,48.380001,47.779972,410700
2020-04-30,48.220001,48.439999,47.840000,48.279999,47.681210,248400
2020-05-01,47.270000,47.599998,46.500000,46.700001,46.120808,321600
2020-05-04,48.520000,48.570000,47.730000,48.310001,47.710842,443600
2020-05-05,48.130001,48.599998,47.740002,48.169998,47.572575,384200
2020-05-06,48.740002,49.830002,48.650002,49.330002,48.718189,380600
2020-05-07,50.060001,50.099998,49.000000,49.860001,49.241615,381000
2020-05-08,50.020000,51.480000,49.990002,51.389999,50.752640,634800
2020-05-11,50.150002,51.630001,50.099998,51.099998,50.466236,1958900
2020-05-12,53.980000,53.990002,51.660000,51.860001,51.216812,2687600
2020-05-13,53.439999,54.430000,52.060001,53.209999,52.550068,2070200
2020-05-14,51.970001,52.820000,51.880001,52.669998,52.016762,792900
2020-05-15,52.740002,53.389999,52.139999,53.009998,52.352547,672300
2020-05-18,54.459999,54.950001,53.820000,54.639999,53.962330,738300
2020-05-19,55.130001,56.220001,55.130001,55.610001,54.920303,705100
2020-05-20,57.070000,57.860001,56.630001,57.259998,56.549835,821600
2020-05-21,56.380001,56.820000,55.009998,55.439999,54.752407,546400
2020-05-22,55.939999,56.680000,55.619999,56.470001,55.769638,465100
2020-05-26,57.360001,57.439999,56.430000,56.459999,55.759758,613800
2020-05-27,54.700001,54.990002,53.810001,54.849998,54.169727,613200
2020-05-28,57.000000,57.730000,56.400002,57.000000,56.293064,1088100
2020-05-29,59.490002,59.900002,58.369999,59.439999,58.702801,1236700
2020-06-01,59.230000,59.720001,58.889999,59.310001,58.574413,468400
2020-06-02,56.990002,58.180000,56.759998,58.139999,57.418922,799900
2020-06-03,57.639999,58.060001,57.540001,57.759998,57.043636,501400
2020-06-04,58.240002,59.119999,58.169998,58.930000,58.199127,491600
2020-06-05,57.580002,57.910000,57.349998,57.880001,57.162148,631700
2020-06-08,57.270000,58.029999,56.790001,57.759998,57.043636,548800
2020-06-09,57.950001,59.689999,57.950001,59.619999,58.880566,552700
2020-06-10,60.360001,60.790001,59.919998,60.470001,59.720028,430100
2020-06-11,59.590000,59.930000,57.910000,58.040001,57.320164,622200
2020-06-12,58.490002,58.799999,57.400002,57.970001,57.251034,468400
2020-06-15,58.330002,60.230000,58.130001,59.759998,59.018829,410900
2020-06-16,60.860001,61.150002,60.330002,60.820000,60.065685,507400
2020-06-17,61.950001,62.779999,61.919998,62.070000,61.300182,564200
2020-06-18,62.150002,62.279999,61.200001,61.509998,60.747128,435700
2020-06-19,61.540001,61.869999,60.709999,61.400002,60.638493,615800
2020-06-22,62.950001,63.139999,62.549999,63.029999,62.248276,301100
2020-06-23,63.270000,63.540001,62.660000,62.740002,61.961876,497400
2020-06-24,62.849998,63.099998,61.919998,62.270000,61.497704,452000
2020-06-25,62.250000,62.970001,61.660000,62.880001,62.100136,332800
2020-06-26,63.160000,63.599998,62.459999,62.759998,61.981625,240500
2020-06-29,63.689999,63.980000,63.139999,63.880001,63.087734,363100
2020-06-30,64.519997,65.370003,64.320000,65.220001,64.411118,427500
2020-07-01,64.599998,64.970001,63.720001,64.589996,63.788925,675800
2020-07-02,64.570000,65.559998,64.430000,64.930000,64.124710,396100
2020-07-06,65.400002,66.360001,65.360001,65.839996,65.023422,331100
2020-07-07,65.279999,66.050003,65.129997,65.139999,64.332108,467000
2020-07-08,65.800003,66.230003,65.599998,66.150002,65.329582,296300
2020-07-09,66.820000,67.559998,66.300003,67.550003,66.712219,460300
2020-07-10,67.830002,67.879997,66.720001,67.029999,66.198662,252400
2020-07-13,67.660004,68.360001,65.610001,65.830002,65.013550,367600
2020-07-14,65.459999,66.209999,64.660004,66.070000,65.250572,416200
2020-07-15,66.839996,67.089996,66.040001,66.790001,65.961647,335800
2020-07-16,67.120003,68.279999,66.959999,68.160004,67.314651,532000
2020-07-17,68.419998,70.320000,68.389999,69.980003,69.112083,651100
2020-07-20,69.669998,71.669998,69.419998,71.430000,70.544098,1319800
2020-07-21,71.430000,71.739998,70.040001,70.410004,69.536751,1407800
2020-07-22,72.919998,73.849998,71.449997,72.550003,71.650208,1282700
2020-07-23,72.080002,72.349998,69.559998,69.870003,69.003448,884500
